;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
418;147308;23003;20079;13861;47167;219034;1036280;85023
419;102133;25333;253655;290022;18853;277983;457416;763477
420;203431;45625;170973;59914;221996;186499;246647;185923
421;535945;9620;290483;67423;312086;88053;10030;154922
422;682275;197399;71249;215231;261159;18320;547771;2671191
423;94366;64840;28803;246570;410003;227;251930;648742
424;55562;30216;41475;180876;802206;173123;130741;974947
425;12852;125309;1538;28064;12751;2426;146265;402577
426;62581;68304;87328;94161;296716;203374;112742;134932
427;258540;226619;57017;24461;20010;203373;114648;1268770
428;9956;32878;183984;11496;551078;69281;642767;115746
429;25502;35747;120767;101458;403923;164567;475170;255815
430;292317;149458;80187;37161;27131;344093;526474;121764
431;1876854;396811;173342;24598;37807;26795;761318;638807
432;48186;85487;5922;21141;95145;14549;92960;610235
433;31690;9150;94964;38874;107130;318496;2280174;592970
434;472101;38980;254756;15834;39050;268130;168804;161718
435;315208;140034;318054;181346;138574;519807;7018;64827
436;36473;23487;29708;216821;45135;118139;93449;217921
437;7819;16338;130559;129416;33609;56163;55245;176515
438;134419;110654;125067;277220;90135;136891;47782;378145
439;76830;66000;69460;188723;212126;20774;398544;553593
440;84819;59609;80812;12109;6996;181482;726998;1019575
441;173872;9263;63766;80798;77357;28887;280274;174607
442;2034000;144278;58041;43611;134588;58322;659620;79266
443;64437;2104;8462;146465;250898;146562;674269;299940
444;19168;96231;7159;56390;82562;188678;559016;1033726
445;556977;15897;76253;52558;41105;94744;333819;628043
446;25513;64297;18125;5125;30855;67990;98581;290962
447;230994;169097;230174;60122;59570;303097;297852;106518
448;133521;18802;66036;61683;7449;88019;170690;486915
449;501046;194304;81306;536848;136699;19093;360840;405335
450;387078;391019;36105;179679;938272;16811;707953;328324
451;87339;267642;89750;229981;11042;101226;141367;7347
452;381210;438053;105617;348297;62504;118087;1237403;497202
453;176693;129645;2050;25198;137754;39289;105536;45540
454;278054;31995;22668;30100;170665;565619;431345;768906
455;455884;69432;35507;133519;46802;224223;18536;515462
456;15743;79189;67260;10906;26325;292129;153877;507752
457;38703;643787;53098;350695;18643;22021;761545;228250
458;86514;136475;185571;9380;37246;108943;233007;1247866
