;pmut1.25;pmut1.5;pmut1.75;pmut2.0;pmut2.25;pmut2.5;pmut2.75;pmut3.0;pmut3.25
306;51910;80261;122960;15719;68838;39658;426099;126682;68882
307;34684;79749;9362;106752;11725;78049;151676;12110;2945
308;104904;27443;68034;114731;69246;34706;23788;42457;138207
309;47652;303124;20868;11108;92035;7446;443199;356692;215452
310;55770;290715;139540;38004;88807;176543;215804;329895;1968
311;48260;109456;161919;169395;332682;19046;205753;483639;316729
312;56484;26222;210953;69623;66046;111776;145459;70216;127719
313;338908;207883;1490;305062;17361;95876;264896;52199;866438
314;fail;477571;129277;317641;223131;73693;551557;36377;331942
315;46623;50225;41575;126532;37454;84176;105222;466646;11942
316;145551;71389;174687;235730;107719;69189;128013;4658;4082
317;30018;177570;55718;46951;60122;27402;125955;122483;36348
318;262291;1427;18511;16621;155304;80922;29131;200362;347106
319;210777;96182;12698;7651;53198;39715;20495;4430;360660
320;193382;77647;52535;66102;26341;190512;33952;74422;265966
321;2837;72900;162336;80225;130804;141725;17209;517949;28583
322;246264;230407;211435;53743;143290;132973;273997;308709;223686
323;257662;156905;158661;4159;142561;191757;633986;65420;57259
324;278208;34890;115726;63842;174;47715;26189;16438;73191
325;58981;125198;176269;213243;47994;19890;56732;118815;149003
326;103983;6311;50442;43726;15098;80640;125235;12607;172696
327;9429;59543;2581;171806;7856;46255;63713;138051;19733
328;103750;135596;18177;84443;300169;163907;25591;246001;149226
329;171131;52097;263217;127714;230879;186845;95074;112156;472668
330;173745;85925;45380;148718;69387;23374;189435;50856;147692
331;14344;35709;197419;489081;45234;435585;810375;644545;23818
332;58108;22737;161339;71759;29044;24252;6795;29970;7192
333;355059;727245;150518;98434;9595;197530;733305;68681;396596
334;19291;83842;106446;258981;509524;61889;548012;79082;93379
335;138319;114669;4581;17075;13971;253248;63068;101653;6963
336;278710;100357;268839;211973;52461;203961;71017;30501;35381
337;47223;56335;32240;107594;48030;112016;2045;68110;106201
338;153155;210754;4705;20749;133132;288021;117325;178055;79902
339;fail;682387;45955;14082;99477;136729;604454;182747;243168
340;83684;55781;146254;67718;37259;203264;192627;340422;26555
341;118734;75395;15976;19562;183814;94845;132375;150225;110001
342;320416;338144;155088;17792;29486;254254;51941;1344;425107
343;214999;121234;151006;4875;6401;8691;40663;13045;23619
344;390655;399395;37141;38038;38058;67361;56489;49932;20269
345;265814;300375;fail;57091;316430;355090;310085;12460;fail
346;30034;776200;583375;527979;269663;128417;54461;323505;333272
347;361777;107326;64865;67581;186685;377139;25358;233965;171815
348;79948;162102;172136;106408;141286;292214;50713;565601;449711
349;162468;100437;44296;264900;40572;78530;18610;45047;133776
350;217814;49638;145674;355886;133542;105690;52739;182660;437253
351;23609;268732;96336;388237;9277;38177;183290;21112;30009
352;105193;376847;23680;293935;88549;fail;675;285262;165979
353;6622;34784;83127;136999;49047;40188;106345;209487;13872
354;243787;96762;19979;146781;23625;128565;149935;1879;338695
355;131882;173989;14917;103610;12741;15107;173178;20559;335218
356;21992;159872;57639;457071;129895;84391;121076;198702;32489
357;240548;186499;191899;156509;358027;300061;110948;27309;147936
358;26664;11070;123064;154093;731782;303039;29747;353825;264578
359;47689;37822;2184;209748;90662;205277;220147;96344;371115
360;313791;617533;259356;83397;161946;20778;447675;23951;6530
361;43687;13469;98926;97990;1090;54620;16347;31874;52526
362;312499;60736;115675;321440;48701;31347;37743;150190;817431
363;544415;12358;186004;77511;289245;87765;422840;847499;112485
364;119987;95538;166704;204065;175116;277185;89404;127522;100842
365;59966;638584;33379;155857;21729;37058;173169;783256;224600
366;148729;fail;fail;28201;374079;15141;9841;2403;303994
367;13706;370609;129134;37100;398390;11046;102121;75600;686382
368;9510;275437;18125;254070;79147;68507;104530;367207;75499
369;122922;121681;335297;238831;160560;156175;37041;125859;803269
370;46378;153839;122071;63110;49099;3286;197507;36896;619780
371;466574;19065;92480;96846;458118;15831;45802;149886;39152
372;725074;346616;49852;288472;25967;79565;47617;71844;148673
373;401276;56745;12034;148623;87601;7479;98746;73915;33734
374;510519;258565;118942;213535;113141;37343;117138;fail;46275
375;22120;72302;2164;130087;69239;148421;5805;61353;92198
376;51692;324748;201140;23871;54366;39078;43866;196714;251156
377;190244;2523;8586;21182;202355;139991;4868;2312;64325
378;62100;11349;7057;185667;152337;15313;222812;131559;125529
379;277418;45534;137639;60152;343845;65560;120183;123829;42913
380;144200;23356;114581;204519;701639;79706;15009;67638;260210
381;70690;54334;681382;132345;196543;202030;70076;202635;44259
382;410793;131516;101829;365332;289866;196827;42040;99173;410404
383;160791;79381;45865;189873;122218;351846;19130;121375;31615
384;110795;11165;1095;150470;932;47355;54393;132136;178137
385;332717;358865;156819;85912;372465;195840;392574;151296;7963
386;623588;440359;160075;343068;476359;284333;734702;312406;54615
387;135009;155075;47002;84720;9165;52993;36048;120686;62291
388;495923;210901;14742;152580;39437;158580;282378;146869;112391
389;10139;10650;79492;88017;260241;118643;142792;6626;475351
390;8822;163807;235361;36339;367186;415043;31901;314040;31025
391;5247;206236;65532;157264;202380;56557;112959;36585;279807
392;221155;14645;141545;38861;106094;83882;96698;219578;86527
393;21422;105428;16740;166186;94531;52835;8097;18519;845
394;214668;755;140123;219960;266925;5458;109215;45143;25496
395;218364;532155;517643;147440;221216;152856;306783;300583;123524
396;98083;191213;128438;27505;42656;12570;54517;529409;545932
397;88576;189441;62259;377860;133600;360670;315640;113130;217702
398;485035;47091;186409;190272;204776;37987;55565;415601;87153
399;64773;213216;2164;33475;171027;14023;23279;564599;86513
400;109003;69138;23580;95814;35931;76128;146645;63703;156785
401;40680;29528;38970;101135;91486;109748;79218;16034;102792
402;174833;208266;338546;77358;50969;68437;5088;36360;7225
403;30252;195593;189613;475201;156237;8384;493803;323235;205298
404;436669;603974;153070;201264;3808;36895;280966;146029;18136
405;622615;6693;227922;375951;29294;350020;50828;687386;224241
406;305142;171608;66388;35125;47975;41565;244496;65759;12037
407;737220;741119;328384;97157;214552;681551;13407;9793;122868
408;73889;229659;136163;193202;423216;32349;101741;646066;23199
409;243819;201526;13533;176778;39403;25101;129493;142603;147233
410;628946;319877;76237;530261;86904;13177;437111;1548;172211
411;190087;23781;417353;13894;55252;33128;160625;157819;117423
412;417834;106697;27467;72201;104280;18998;33191;54053;36345
