;RLS-N2;EA4;pmut2.25
1055;16891;38323;30969
1056;56546;50810;3934
1057;12085;22993;18859
1058;13332;10854;47686
1059;17119;5944;61834
1060;4823;18987;254471
1061;86;4989;10223
1062;44211;9431;10025
1063;16479;48875;18983
1064;18625;21157;102787
1065;5326;62577;15659
1066;55955;77982;11465
1067;38250;1393;94576
1068;1608;23672;39568
1069;7780;2404;98096
1070;14035;2656;1241
1071;74714;8995;42282
1072;21908;9287;45371
1073;4158;1683;8604
1074;859;55782;1699
1075;216;390;68696
1076;37097;83264;22045
1077;9467;10206;66225
1078;923;6470;9581
1079;644;14624;1349
1080;17982;2172;4276
1081;5867;39459;39376
1082;2496;67594;6941
1083;1159;15006;261
1084;9404;4575;21923
1085;47149;15843;56060
1086;18768;45096;70561
1087;21360;17375;36689
1088;71100;28387;34684
1089;5871;44010;70860
1090;9628;74018;64422
1091;12995;63414;52209
1092;11813;51853;21458
1093;7672;42692;12086
1094;32380;18859;73713
1095;4754;70543;35890
1096;43650;120989;44791
1097;4824;7224;20109
1098;2548;5712;56885
1099;24980;35644;8264
1100;4838;12848;756
1101;460;848;4818
1102;1930;1527;4400
1103;14499;13225;17783
1104;26978;7001;50418
1105;40870;3090;9274
1106;17253;575;46141
1107;15705;17203;19336
1108;98744;23046;2490
1109;10401;6861;10325
1110;10352;6161;41401
1111;7538;11052;6930
1112;16463;22306;4327
1113;49560;18169;83
1114;47196;74879;18905
1115;2715;55529;6298
1116;13;4253;15992
1117;16084;915;5576
1118;6173;69974;4827
1119;20137;33570;52840
1120;28182;19443;18228
1121;28355;11834;46673
1122;17343;17620;1017
1123;60946;3353;4747
1124;18308;66491;39679
1125;40235;2335;53402
1126;10275;19025;5345
1127;13121;8162;28448
1128;1691;4018;11989
1129;26753;10126;53056
1130;4229;13049;20645
1131;10435;14540;5079
1132;19343;33240;76258
1133;7516;39127;106792
1134;340;13575;11330
1135;6997;21140;118924
1136;12891;2773;7809
1137;64920;16734;23534
1138;1780;6137;49355
1139;8073;29761;5136
1140;1078;26483;20709
1141;13783;91151;36574
1142;40515;7865;12244
1143;39604;11557;2115
1144;22438;2755;7077
1145;4874;118619;20528
1146;8780;2786;1822
1147;4424;39656;29694
1148;4987;57891;71895
1149;8021;101725;32147
1150;59856;1507;497
1151;8060;11565;7251
1152;33439;167;14361
1153;7294;28778;8878
1154;5579;48225;108886
1155;47716;47040;20931
1156;29889;4899;53270
1157;56237;37331;23994
1158;4292;22614;44990
1159;41376;70279;14592
1160;22865;5700;3368
1161;33606;8032;77831
1162;50568;49709;15266
1163;6711;19966;253984
1164;5372;54799;3913
1165;15848;10723;42811
1166;64444;21890;25154
1167;47039;32109;14621
1168;12153;13437;85970
1169;4706;5555;10910
1170;9595;9498;1646
1171;19768;5727;46226
1172;42580;62368;52569
1173;30308;21926;27553
1174;1835;543;29905
1175;25948;4526;42714
1176;50816;51106;11146
1177;54810;4368;137
1178;6174;25352;52131
1179;1378;53841;24218
1180;28184;62207;23937
1181;59313;90874;28276
1182;28571;37951;37931
1183;26032;2692;7348
1184;21425;2191;112324
1185;6878;2461;15886
1186;2416;14698;25154
1187;12129;50434;7194
1188;41762;15452;3180
1189;109230;29523;8413
1190;46888;10021;6806
1191;14764;6686;2680
1192;1501;84323;16053
1193;12114;23729;6830
1194;12895;18505;115665
1195;33087;26777;11176
1196;17243;41112;14595
1197;15190;18698;7922
1198;32409;9645;53539
1199;13839;58031;25253
1200;73925;40505;42015
1201;326;53024;2652
1202;497;5456;106222
1203;16702;2192;48879
1204;29906;24542;12086
1205;41509;64007;3113
1206;23203;25286;39666
1207;4613;10947;15130
1208;13730;37979;9363
1209;7362;52275;7755
1210;1628;377;6232
1211;3228;5868;12474
1212;103353;7792;61652
1213;35292;27202;31984
1214;15356;62211;38482
1215;3147;16677;6280
1216;8992;16117;31316
1217;1254;34801;73399
1218;62562;4224;21274
1219;11068;44225;102306
1220;6468;5357;844
1221;39397;13993;14813
1222;45027;4447;15598
1223;8335;423;4435
1224;50663;43420;43570
1225;9585;158;47890
1226;32838;25368;29982
1227;31246;13035;899
1228;15169;37204;5724
1229;4673;37024;456
1230;61327;77973;50505
1231;6427;74550;5418
1232;1342;4451;24446
1233;5035;14009;1482
1234;81667;6369;13369
1235;15215;20576;15211
1236;39951;17126;30067
1237;16838;11568;147975
1238;4616;44213;38638
1239;31431;16748;15295
1240;25011;5558;91106
1241;19541;37601;20330
1242;14501;786;26580
1243;12416;44217;1956
1244;6673;147461;28034
1245;30939;752;26725
1246;27917;25481;7037
1247;40648;8208;5606
1248;4623;6687;11565
1249;564;22294;3675
