id;length;n;p;count;minDif;maxDif;avgDif;solvable;solvablePercent
412;11;1000;0,20;1000;14;84;48;0;0,000
413;11;10000;0,20;1000;710;939;838;0;0,000
414;11;100000;0,20;1000;9087;9850;9494;0;0,000
415;11;10;0,30;1000;0;0;0;1000;1,000
416;11;100;0,30;1000;0;10;0;797;0,797
417;11;1000;0,30;1000;39;133;91;0;0,000
418;11;10000;0,30;1000;1147;1428;1313;0;0,000
419;11;100000;0,30;1000;13918;14812;14402;0;0,000
420;11;10;0,40;1000;0;1;0;999;0,999
421;11;100;0,40;1000;0;12;1;476;0,476
422;11;1000;0,40;1000;76;182;136;0;0,000
423;11;10000;0,40;1000;1616;1930;1801;0;0,000
424;11;100000;0,40;1000;18644;19771;19370;0;0,000
425;11;10;0,50;1000;0;0;0;1000;1,000
426;11;100;0,50;1000;0;18;5;195;0,195
427;11;1000;0,50;1000;118;235;185;0;0,000
428;11;10000;0,50;1000;2134;2428;2295;0;0,000
429;11;100000;0,50;1000;23835;24768;24360;0;0,000
430;11;10;0,60;1000;0;1;0;998;0,998
431;11;100;0,60;1000;0;24;9;29;0,029
432;11;1000;0,60;1000;177;279;237;0;0,000
433;11;10000;0,60;1000;2619;2932;2800;0;0,000
434;11;100000;0,60;1000;28842;29788;29365;0;0,000
435;11;10;0,70;1000;0;2;0;986;0,986
436;11;100;0,70;1000;2;29;16;0;0,000
437;11;1000;0,70;1000;232;329;290;0;0,000
438;11;10000;0,70;1000;3157;3432;3314;0;0,000
439;11;100000;0,70;1000;33827;34791;34407;0;0,000
440;11;10;0,80;1000;0;3;0;902;0,902
441;11;100;0,80;1000;11;36;23;0;0,000
442;11;1000;0,80;1000;310;384;348;0;0,000
443;11;10000;0,80;1000;3716;3926;3835;0;0,000
444;11;100000;0,80;1000;39066;39853;39484;0;0,000
445;11;10;0,90;1000;0;3;0;433;0,433
446;11;100;0,90;1000;22;40;32;0;0,000
447;11;1000;0,90;1000;376;438;411;0;0,000
448;11;10000;0,90;1000;4270;4455;4378;0;0,000
449;11;100000;0,90;1000;44248;44869;44611;0;0,000
450;12;10;0,10;1000;0;1;0;999;0,999
451;12;100;0,10;1000;0;0;0;1000;1,000
452;12;1000;0,10;1000;0;1;0;998;0,998
453;12;10000;0,10;1000;0;2;0;972;0,972
454;12;100000;0,10;1000;0;10;0;750;0,750
455;12;10;0,20;1000;0;0;0;1000;1,000
456;12;100;0,20;1000;0;0;0;1000;1,000
457;12;1000;0,20;1000;0;1;0;996;0,996
458;12;10000;0,20;1000;0;5;0;948;0,948
459;12;100000;0,20;1000;0;5;0;666;0,666
460;12;10;0,30;1000;0;0;0;1000;1,000
461;12;100;0,30;1000;0;1;0;997;0,997
462;12;1000;0,30;1000;0;1;0;994;0,994
463;12;10000;0,30;1000;0;21;0;929;0,929
464;12;100000;0,30;1000;0;42;0;637;0,637
465;12;10;0,40;1000;0;0;0;1000;1,000
466;12;100;0,40;1000;0;1;0;998;0,998
467;12;1000;0,40;1000;0;2;0;991;0,991
468;12;10000;0,40;1000;0;2;0;908;0,908
469;12;100000;0,40;1000;0;25;0;599;0,599
470;12;10;0,50;1000;0;0;0;1000;1,000
471;12;100;0,50;1000;0;1;0;999;0,999
472;12;1000;0,50;1000;0;1;0;995;0,995
473;12;10000;0,50;1000;0;4;0;914;0,914
474;12;100000;0,50;1000;0;16;0;612;0,612
475;12;10;0,60;1000;0;1;0;999;0,999
476;12;100;0,60;1000;0;0;0;1000;1,000
477;12;1000;0,60;1000;0;24;0;992;0,992
478;12;10000;0,60;1000;0;3;0;917;0,917
479;12;100000;0,60;1000;0;8;0;611;0,611
480;12;10;0,70;1000;0;0;0;1000;1,000
481;12;100;0,70;1000;0;1;0;998;0,998
482;12;1000;0,70;1000;0;1;0;995;0,995
483;12;10000;0,70;1000;0;4;0;917;0,917
484;12;100000;0,70;1000;0;10;0;611;0,611
485;12;10;0,80;1000;0;0;0;1000;1,000
486;12;100;0,80;1000;0;0;0;1000;1,000
487;12;1000;0,80;1000;0;1;0;997;0,997
488;12;10000;0,80;1000;0;5;0;946;0,946
489;12;100000;0,80;1000;0;18;0;676;0,676
490;12;10;0,90;1000;0;0;0;1000;1,000
491;12;100;0,90;1000;0;0;0;1000;1,000
492;12;1000;0,90;1000;0;1;0;999;0,999
493;12;10000;0,90;1000;0;3;0;959;0,959
494;12;100000;0,90;1000;0;5;0;749;0,749
495;13;10;0,10;1000;0;1;0;999;0,999
496;13;100;0,10;1000;0;0;0;1000;1,000
497;13;1000;0,10;1000;0;34;6;288;0,288
498;13;10000;0,10;1000;243;435;353;0;0,000
499;13;100000;0,10;1000;4213;4831;4541;0;0,000
500;13;10;0,20;1000;0;0;0;1000;1,000
501;13;100;0,20;1000;0;1;0;999;0,999
502;13;1000;0,20;1000;0;74;38;4;0,004
503;13;10000;0,20;1000;663;918;803;0;0,000
504;13;100000;0,20;1000;8776;9727;9382;0;0,000
505;13;10;0,30;1000;0;0;0;1000;1,000
506;13;100;0,30;1000;0;7;0;947;0,947
507;13;1000;0,30;1000;5;120;78;0;0,000
508;13;10000;0,30;1000;1119;1419;1276;0;0,000
509;13;100000;0,30;1000;13795;14670;14289;0;0,000
510;13;10;0,40;1000;0;0;0;1000;1,000
511;13;100;0,40;1000;0;11;0;811;0,811
512;13;1000;0,40;1000;69;169;123;0;0,000
513;13;10000;0,40;1000;1566;1901;1762;0;0,000
514;13;100000;0,40;1000;18455;19715;19249;0;0,000
515;13;10;0,50;1000;0;0;0;1000;1,000
516;13;100;0,50;1000;0;15;2;451;0,451
517;13;1000;0,50;1000;114;217;172;0;0,000
518;13;10000;0,50;1000;2043;2395;2254;0;0,000
519;13;100000;0,50;1000;23698;24687;24231;0;0,000
520;13;10;0,60;1000;0;1;0;999;0,999
521;13;100;0,60;1000;0;20;6;139;0,139
522;13;1000;0,60;1000;166;275;224;0;0,000
523;13;10000;0,60;1000;2572;2925;2763;0;0,000
524;13;100000;0,60;1000;28741;29736;29239;0;0,000
525;13;10;0,70;1000;0;1;0;997;0,997
