;EA;EA2;EA3;EA4;EA5;EA10;EA50;EA100
671;150;10227;363;59;122;53;22;165
672;284;1884;896;8630;14;302;34;4
673;1180;101;1696;10;729;424;16;13
674;101;49;5844;59;1376;38;124;88
675;8933;155;4570;20;26;973;59;98
676;106;200;72;18;59;1153;354;29
677;11335;3540;97;3492;47;19;16;15
678;3815;2883;129;202;250;995;46;92
679;117;91;44;20;1053;22;12;26
680;491;94;2372;178;97;41;204;52
681;44;69;68;1849;889;1085;249;367
682;27;65;252;3130;77;75;33;115
683;111;46;103;24;120;65;21;37
684;53;111;50;0;335;79;45;13
685;15090;2192;170;24;390;2;259;35
686;2752;1129;96;103;2;17;186;281
687;4162;13;3251;432;25;35;45;45
688;11384;57;970;50;768;21;55;95
