;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25;RLS-N4;EA100;pmut1.25
252;17;7;17;28;4;0;141;10;3;301;1;20;144;24;29;1942;12;141;387;46;40;96;291;72
253;3;4;13;26;11;13;5;2;1;40;13;13;393;48;32;105;53;27;60;7;22;1963;957;27
254;21;1;12;29;34;11;6;33;16;5;17;50;635;11;22;784;104;29;12237;5;21;73104;862;9
255;4;0;1;58;18;6;232;18;19;160;45;15;73;6;13;7949;13;61;15798;12;19;121621;14;51
256;4;29;3;25;26;5;36;0;28;0;26;20;734;22;17;7566;55;7;33;189;58;11341;72;126
257;7;8;1;21;29;1;19;45;21;21;47;14;488;8;36;899;67;61;12642;5;44;10590;69;118
258;35;17;7;45;21;12;20;18;7;4;32;49;143;30;0;334;28;54;9394;37;52;38;167;41
259;8;13;2;22;15;18;16;3;2;208;3;29;1731;22;14;40;12;29;5277;133;85;104270;54;72
260;0;5;13;48;11;1;9;7;4;69;6;34;2;12;16;875;45;23;6555;155;35;120;153;29
261;24;0;9;51;0;18;23;3;18;118;26;23;1812;2;11;3529;51;82;10564;14;14;147;149;31
262;16;18;4;5;9;0;3;58;40;56;129;8;670;13;28;4752;24;22;7400;102;76;165;182;151
263;12;3;4;0;9;28;14;18;4;104;122;12;877;8;36;4628;36;61;3985;150;48;1319;9;24
264;6;6;6;15;3;14;3;3;6;0;6;6;1235;44;7;30;106;2;514;4;21;21929;390;19
265;0;4;12;1;18;4;63;14;17;275;8;19;138;22;8;2756;19;23;8572;21;24;353;190;31
266;17;4;3;3;16;8;27;47;3;731;78;23;210;15;38;2862;17;59;465;22;9;59;960;41
267;5;1;3;2;12;0;5;7;3;1797;42;6;71;44;21;1379;21;2;150;46;10;324;34;198
268;8;13;15;25;7;9;3;7;4;650;24;7;0;5;27;1066;26;25;10126;84;50;138;72;178
269;19;5;5;46;1;4;3;16;26;13;4;23;6;2;18;6435;35;37;7302;105;100;22170;18;50
270;3;10;13;10;1;8;45;12;6;30;0;18;900;13;8;1122;34;54;18805;6;38;45173;485;26
271;23;6;0;0;17;7;107;24;12;91;34;11;195;6;56;772;21;51;102;196;25;26449;824;91
272;0;21;0;82;41;14;100;62;17;184;19;5;134;92;35;10628;4;28;6158;22;54;132709;51;31
273;4;10;12;118;17;13;5;40;13;19;41;26;182;9;39;47;116;25;661;148;34;15423;65;19
274;0;8;6;10;0;4;105;43;7;1043;10;7;131;8;21;4;19;95;2606;14;6;15805;87;55
275;4;5;10;6;15;9;108;111;0;159;22;13;58;19;20;7184;28;18;8173;40;45;46530;32;17
276;20;1;5;0;5;14;50;77;5;27;63;18;1026;47;58;23128;33;31;401;116;13;102;234;56
277;2;6;2;4;3;12;260;99;7;213;7;24;655;14;26;3552;102;0;10171;111;30;18728;1009;14
278;9;9;10;70;18;7;17;13;2;152;23;31;301;42;34;3090;32;60;28;40;10;36284;77;184
279;0;14;10;0;9;17;26;10;17;444;25;11;1113;50;57;2684;144;21;591;13;49;16417;765;77
280;20;6;15;6;68;3;8;16;20;152;1;16;24;80;8;428;58;66;125;49;34;1467;35;43
281;20;2;3;13;6;0;12;39;16;10;121;22;24;84;33;929;51;13;57;16;29;68577;30;41
282;28;0;7;17;6;10;72;7;3;176;50;3;4;40;6;8;48;36;158;24;74;69;65;77
283;7;5;11;13;10;20;26;33;6;440;6;1;58;10;30;949;66;79;2149;45;18;40570;176;105
284;62;4;1;275;0;21;230;29;1;241;8;3;219;70;3;7299;54;19;3731;52;17;36590;25;53
285;19;0;3;57;15;19;28;38;42;85;17;9;139;148;27;64;6;12;10814;22;9;6325;45;94
286;0;23;8;1;15;13;123;106;21;7;23;29;140;0;37;498;18;93;1519;21;23;5233;182;89
287;10;1;23;1;16;22;10;2;14;256;54;0;1726;19;22;1490;64;34;3166;274;45;41961;214;18
288;19;5;4;19;8;14;7;30;7;515;51;26;46;54;8;309;31;50;5937;80;19;73822;52;102
289;16;4;4;72;7;19;1;24;0;324;5;22;490;60;21;1750;11;15;2861;129;37;39;66;62
290;12;7;4;28;31;0;12;16;6;114;30;39;100;19;2;6583;21;46;8332;188;17;13215;784;24
291;0;17;13;81;8;14;82;58;15;326;47;18;29;11;37;233;76;65;1234;189;160;165;149;125
292;1;2;17;6;11;6;183;9;6;1413;32;13;1358;5;97;27;83;53;6038;19;111;29773;6;10
293;8;2;0;17;10;1;123;11;11;142;20;5;1484;50;56;5294;23;50;20883;181;90;1501;66;49
294;2;7;1;15;29;1;7;4;17;136;2;11;18;12;5;28;13;16;9249;154;25;403;762;107
295;2;3;4;176;11;9;16;47;11;5;6;11;403;20;22;1103;84;59;528;48;48;18166;105;35
296;10;1;4;9;31;20;32;8;11;738;51;7;81;28;35;399;13;21;4509;2;69;42959;373;35
297;0;1;10;17;7;9;29;1;31;3;54;22;1419;35;12;2172;18;23;4305;29;55;14;1053;122
298;2;18;9;6;14;8;13;78;6;28;39;29;5;38;29;908;27;58;12;0;73;13214;30;204
299;15;26;1;66;8;15;11;4;9;17;60;8;2771;14;3;4570;64;9;2112;94;33;86;418;34
300;23;8;14;28;13;21;2;85;1;37;44;15;619;8;27;1626;25;11;3117;57;60;30726;20;67
301;0;4;11;3;1;19;131;59;8;185;84;22;30;15;10;972;105;32;75;42;30;5342;587;87
302;10;65;28;33;22;10;2;73;15;32;6;9;49;89;51;145;87;102;2933;14;33;12708;113;95
303;2;0;6;0;15;18;69;29;2;367;56;21;10;62;3;3084;10;10;1359;131;79;6744;48;91
304;43;5;8;0;30;1;41;1;3;53;21;33;485;5;0;2581;86;24;647;77;10;19039;639;75
305;2;4;4;15;5;14;19;7;2;142;12;23;326;147;16;5735;9;6;59;106;48;52583;13;56
306;9;29;27;7;27;3;7;7;3;1189;94;15;243;5;32;140;71;33;5763;60;43;20540;18;21
307;55;0;8;6;0;35;8;3;25;23;78;25;43;40;13;10356;75;22;10542;40;16;21599;86;63
308;4;2;11;11;35;8;8;53;5;255;4;22;195;19;36;8452;52;27;5078;84;4;15750;148;8
309;5;13;0;4;4;5;0;38;16;197;23;5;17;26;13;25;45;14;1961;207;36;232;1208;103
310;9;3;9;29;0;7;9;80;20;4;64;14;0;9;15;5752;109;141;1220;0;41;18214;100;108
311;11;3;4;0;38;7;29;21;16;365;20;24;1130;35;9;461;38;1;503;65;33;32405;358;67
312;9;0;13;25;21;4;7;2;16;107;37;12;1505;14;17;1394;24;28;320;14;7;15633;523;79
313;0;1;0;23;7;8;212;39;3;169;44;17;194;72;3;5101;13;34;913;38;9;2273;879;169
314;13;4;1;12;32;11;32;10;12;501;79;22;375;38;25;505;35;8;3688;25;24;1689;99;112
315;16;1;5;1;46;5;41;39;20;85;13;7;17;64;16;1782;20;27;10002;50;46;759;82;44
316;0;6;12;16;13;3;33;64;12;65;6;11;117;28;8;2451;45;48;32;82;3;20933;585;37
317;15;1;4;68;32;4;92;57;8;40;0;46;5;39;8;5791;43;21;4639;5;40;204;592;6
318;64;5;17;2;26;16;31;45;32;197;75;11;231;48;6;26;14;53;1387;12;6;12714;446;1
319;0;3;9;12;22;1;4;2;22;290;15;21;14;79;19;16;37;32;2239;25;37;12727;428;52
320;37;5;6;5;1;33;9;99;9;79;17;26;27;21;14;2701;38;20;24;46;33;9496;15;45
321;6;3;6;17;6;20;124;8;20;777;5;18;770;15;4;12947;60;26;3455;65;36;71614;737;58
322;10;20;9;4;0;12;40;26;6;6;19;10;5;21;23;1111;87;46;3429;21;27;20185;201;55
323;37;9;4;64;20;3;7;14;2;195;17;4;22;63;25;606;27;68;2003;147;126;1065;82;26
324;1;1;41;10;8;8;168;4;3;280;7;4;132;11;11;0;82;22;10495;71;33;30969;50;68
325;34;6;13;26;47;9;33;10;2;17;7;13;417;10;11;42;7;59;32936;89;24;18478;80;103
326;10;3;2;10;79;1;3;4;10;289;60;16;697;9;25;11249;48;48;6159;38;58;29349;778;156
327;3;9;7;0;5;14;45;25;24;4;0;23;722;23;13;2137;23;15;1454;85;19;43;267;11
328;24;9;11;6;17;12;25;19;0;251;26;19;1604;0;15;5298;1;10;1755;27;58;18210;887;165
329;8;20;31;5;27;19;1;15;11;416;45;21;331;8;5;44;23;91;66;29;85;6140;299;32
330;1;0;6;83;6;6;73;120;11;239;21;0;1842;105;22;71;5;2;1922;93;38;1545;25;120
331;0;5;2;21;3;4;60;2;26;737;15;17;19;7;23;2232;12;20;4;16;41;39799;51;156
332;8;6;0;8;5;1;104;29;8;787;21;19;1414;19;1;4120;12;41;178;59;20;24420;4;123
333;5;9;4;19;18;4;86;97;21;400;9;50;1091;4;9;225;2;11;1247;54;64;12071;78;111
334;3;0;9;3;32;7;66;45;9;123;14;4;626;14;36;16;21;3;25077;62;57;102;446;61
335;27;7;4;2;3;13;51;14;13;15;13;10;28;20;14;2917;16;43;6289;87;40;114;166;92
336;11;11;0;0;4;19;109;1;0;624;11;28;62;67;19;460;105;17;92;62;57;39358;118;46
337;2;4;2;16;21;0;8;20;3;703;52;15;20;125;10;669;22;26;24;98;31;22399;221;44
338;6;21;4;7;20;0;18;9;14;173;77;31;9;7;13;139;24;34;5517;21;34;160;43;207
339;7;18;1;48;11;5;23;7;10;197;98;12;1838;14;2;1538;8;21;22;30;25;36588;2;59
340;0;3;19;5;1;14;7;27;18;63;84;12;243;19;12;23;89;48;489;231;41;8409;0;93
341;10;14;0;8;1;11;68;19;12;29;8;6;12;53;12;1652;86;42;727;205;28;45297;118;98
342;19;2;9;7;22;3;22;8;17;128;27;7;21;6;59;3319;81;47;107;76;133;25993;1028;34
343;22;14;20;2;38;5;14;111;14;34;99;29;1752;22;17;4083;29;78;52;35;88;49928;1026;122
344;32;7;15;1;16;18;15;35;2;107;48;5;7;56;13;28;18;37;1018;50;35;21458;22;36
345;19;12;9;12;5;10;3;5;4;32;16;60;290;32;6;30;99;52;389;62;40;3823;24;43
346;61;6;3;80;54;2;71;82;16;188;17;30;444;18;21;3360;18;49;6476;44;43;67783;375;68
347;6;6;10;61;43;0;2;9;20;32;101;18;292;16;22;4321;51;13;1235;53;28;52;298;6
348;0;10;15;87;7;0;34;1;24;98;16;5;85;33;20;4447;27;9;52;134;8;37862;207;30
349;0;8;2;34;17;11;9;2;23;52;165;69;99;26;10;1176;51;52;32;35;34;1831;160;63
350;3;9;3;7;20;4;19;7;66;611;27;29;287;66;27;23;12;12;51;54;104;15782;12;56
351;52;18;2;16;3;13;90;99;0;421;25;26;1;4;14;7887;28;29;104;7;51;17544;79;28
352;3;17;3;25;1;4;178;2;10;21;25;6;2613;18;18;193;8;57;3787;28;10;1298;13;115
353;2;4;3;102;18;0;69;12;5;4;47;18;25;7;14;197;102;132;5890;15;40;51043;1637;21
354;27;1;0;7;6;9;34;6;4;43;0;10;802;22;92;703;43;32;5744;42;71;18675;42;39
355;12;14;4;8;17;9;112;17;2;91;16;4;442;20;4;12;149;66;15375;35;2;93903;656;17
356;0;28;15;65;36;6;45;5;14;412;27;14;357;60;9;2854;9;68;8;63;7;329;35;202
357;18;4;14;4;25;11;6;25;3;35;15;26;801;43;30;1993;45;7;615;63;79;26090;78;192
358;9;32;5;4;6;31;92;0;26;5;24;2;71;55;53;5705;15;17;504;142;106;6719;46;160
359;1;13;1;2;9;9;71;40;4;6;17;16;33;97;21;233;72;39;929;13;113;89;10;54
360;50;13;3;59;8;8;23;17;13;47;17;15;374;18;8;30;24;89;10754;77;71;8407;25;23
361;12;0;7;12;17;1;0;41;2;32;63;11;295;61;62;7059;26;25;70;64;23;9035;298;49
362;3;17;5;2;21;12;64;75;51;261;27;51;8;10;16;600;82;22;3845;126;134;216;97;33
363;0;6;0;2;25;14;24;10;13;6;32;10;3;35;6;24;19;33;19030;290;3;134459;653;105
364;25;14;3;20;10;8;17;29;25;52;75;13;705;8;34;895;53;53;5253;82;37;12296;62;105
365;4;7;5;20;16;21;23;8;8;1028;21;18;15;2;38;1206;92;22;25191;24;47;19165;68;131
366;1;2;5;15;6;5;13;50;10;109;2;49;634;33;16;67;24;66;87;65;81;1618;109;22
367;0;15;0;15;2;7;35;23;12;191;59;7;2717;6;32;769;65;167;2596;22;36;8428;109;192
368;24;5;21;41;9;10;10;4;12;3;29;19;774;45;40;53;19;30;104;6;32;27;221;48
369;14;6;17;1;3;8;0;15;2;2;129;23;810;91;22;529;189;18;438;54;60;97;37;42
370;25;15;0;18;0;9;2;37;9;22;10;25;20;31;27;309;33;147;6702;17;13;8995;53;74
371;1;0;8;15;10;12;111;7;2;979;27;8;931;56;14;2163;5;28;4378;12;30;7982;559;86
372;9;6;5;9;0;12;120;1;5;406;23;24;42;14;13;5892;20;53;2851;104;30;5955;31;80
373;9;4;2;8;30;10;207;2;28;12;7;10;31;18;0;626;53;27;120;35;25;24364;15;256
374;4;26;0;17;18;20;182;0;10;869;23;10;770;24;30;31;101;75;1854;34;104;159849;1153;15
375;7;16;20;15;4;1;87;14;2;672;23;30;346;24;19;428;95;29;9287;63;66;164;421;23
376;10;4;8;29;9;9;7;12;10;1;69;13;2;21;37;74;20;6;2165;75;1;9576;16;220
377;0;7;3;1;20;7;53;13;11;195;32;5;31;3;40;13;5;23;83;57;35;15601;1116;43
378;7;6;9;5;1;2;31;55;8;6;9;43;14;19;18;5328;88;17;717;167;33;15765;76;20
379;23;1;4;6;2;11;154;6;9;330;14;10;299;10;6;124;41;53;169;27;23;12802;125;82
380;17;11;0;0;37;1;26;24;2;294;52;39;19;6;2;79;8;23;39;10;8;0;900;12
381;5;2;3;49;38;7;55;22;7;116;51;15;260;14;24;2335;23;4;64;96;22;118;11;93
382;46;3;8;4;21;12;53;50;2;36;17;23;768;6;54;21;40;6;25741;155;41;120;35;32
383;7;7;8;22;12;10;11;3;3;46;25;51;1305;21;4;7768;27;28;11365;9;48;16046;79;128
384;23;21;2;125;7;2;67;6;1;241;48;19;271;27;3;1433;103;20;48;39;31;25;254;12
385;2;19;16;48;10;6;124;25;33;168;34;6;760;29;18;10022;20;121;29970;90;88;183407;56;96
386;4;2;9;20;14;31;0;57;5;811;9;38;1280;25;21;206;89;127;50;129;142;20712;70;77
387;12;4;5;16;1;5;6;8;22;555;8;4;155;23;5;8802;67;16;6790;32;27;173;4;37
388;1;6;0;1;1;17;6;20;12;90;13;6;14;45;9;2419;122;51;2256;98;25;46778;98;20
389;29;20;0;201;0;1;60;20;9;89;55;84;1793;9;68;3083;98;4;61;107;25;37094;52;57
390;4;8;1;12;6;6;134;47;13;24;24;32;2;19;36;101;51;56;51;88;50;40301;24;9
391;4;22;0;56;33;7;37;28;0;66;27;24;44;10;33;1017;54;6;3208;30;31;8350;43;19
392;4;14;2;20;6;4;177;15;0;150;31;6;729;2;11;124;4;12;1256;27;31;6600;5;121
393;2;9;0;8;10;12;346;13;6;229;38;6;148;80;20;3341;85;13;4826;25;32;19038;75;43
394;24;7;3;33;4;6;8;28;9;10;16;17;212;4;13;1391;79;61;14711;175;41;3595;18;20
395;18;9;9;15;18;6;55;22;2;19;24;28;602;18;4;6670;76;28;1237;39;7;41575;45;29
396;0;4;2;12;31;3;21;122;10;230;16;13;1238;1;63;1772;111;53;3647;58;22;96;526;166
397;12;6;6;37;22;16;84;63;4;4;92;15;85;49;8;4380;63;77;953;23;96;13011;33;84
398;2;21;12;9;60;5;28;15;6;252;39;18;182;12;30;2594;60;16;19;66;41;8645;315;35
399;4;1;3;34;2;4;126;45;4;461;40;22;25;96;10;14935;99;46;266;35;4;22567;115;117
400;14;5;24;224;7;9;6;6;22;11;9;68;30;56;18;10328;22;50;15;55;48;34219;91;33
401;38;6;0;5;2;12;21;3;16;923;4;29;950;29;11;10;14;69;4392;49;33;8737;106;18
402;5;43;1;23;9;8;34;41;3;98;32;9;97;9;6;3860;60;15;3813;15;64;14193;26;32
403;10;11;6;3;19;20;92;7;43;93;54;29;220;15;8;1343;35;26;4522;30;54;3106;38;52
404;7;12;4;34;40;6;73;55;16;140;0;22;61;7;16;2274;15;140;4756;152;30;14867;35;56
405;10;37;10;43;6;14;132;82;10;99;85;7;34;36;11;410;39;22;5186;2;27;7699;325;26
406;23;14;12;20;6;8;71;68;2;667;51;21;1214;15;45;987;79;32;1850;34;72;112;168;70
407;4;6;7;32;13;1;135;84;5;1545;6;35;153;41;8;6877;16;43;15667;63;11;20322;31;20
408;6;4;34;11;34;12;103;8;8;10;70;30;30;7;8;4951;74;13;86;7;16;107;47;87
409;1;12;10;25;5;26;96;17;9;194;39;16;129;13;36;8926;64;34;22911;87;22;10099;3;27
410;10;3;1;5;7;14;14;21;21;372;73;17;1344;11;7;33;24;38;61;148;141;32456;1023;53
411;1;19;7;50;24;0;14;14;10;6;25;14;54;75;9;1519;37;19;277;151;21;5062;113;75
412;6;2;0;1;7;9;16;80;9;744;14;6;6;24;51;1485;13;38;2497;12;16;29252;42;104
413;4;42;6;46;12;23;22;42;26;408;6;48;580;39;20;24;27;12;4;18;93;64;340;217
414;13;3;6;36;41;5;0;82;12;181;14;11;57;54;22;722;19;25;27755;36;40;39407;210;78
415;8;17;12;7;4;2;34;47;33;10;4;5;1115;39;34;730;11;48;121;29;20;127;1236;256
416;48;17;6;10;3;5;20;62;7;11;51;11;806;28;29;49;173;41;1067;60;20;41;22;25
417;8;1;1;16;9;5;53;65;24;69;9;23;953;40;10;3228;86;217;23;109;5;14635;43;82
418;10;37;6;34;14;6;22;137;4;367;18;6;37;35;77;4523;65;26;7;39;32;13178;97;17
419;6;6;5;75;29;16;60;22;4;59;38;22;3181;19;30;3644;15;9;29672;31;28;95;102;88
420;4;0;13;40;7;7;18;2;0;86;45;7;795;26;15;423;137;74;996;8;29;27333;17;45
421;24;26;0;20;53;12;26;10;0;342;14;5;1829;32;9;950;29;5;2004;128;14;19582;32;101
422;18;9;13;2;2;10;107;11;11;561;73;77;440;26;13;9782;27;51;59;62;20;281;37;25
423;fail;15;1;85;3;8;25;10;0;1380;63;22;59;10;17;17;17;65;99;121;12;8398;207;158
424;5;23;5;75;45;10;6;24;5;397;11;18;1198;19;41;1487;49;91;1090;95;26;4;31;5
425;5;2;2;4;2;5;48;16;1;741;108;23;1139;48;18;760;52;65;1604;66;25;220;106;49
426;18;3;5;4;1;5;34;5;26;11;14;12;809;18;60;2013;160;28;116;90;45;30551;1260;56
427;3;9;2;22;7;9;4;15;11;452;13;5;1796;15;14;54;52;47;340;56;70;15196;78;171
428;13;57;4;15;10;1;305;26;18;458;7;10;452;72;37;4600;61;25;1302;27;13;24767;787;85
429;8;3;0;51;4;6;144;10;7;19;49;23;38;23;19;87;29;70;4192;68;123;21989;22;14
430;20;1;9;28;21;1;52;8;6;261;3;31;286;69;35;196;25;39;20;23;49;11434;32;31
431;46;10;13;18;7;1;78;2;25;247;3;16;45;0;17;17;6;0;2395;43;33;19142;36;16
432;36;0;6;9;24;7;6;1;10;150;45;43;6;31;2;297;47;37;7476;18;45;32547;21;18
433;2;1;6;60;7;5;6;77;14;515;4;9;21;68;13;774;66;43;6596;22;7;9611;111;12
434;7;33;1;89;2;3;3;11;7;276;41;10;2848;33;47;51;52;115;7918;63;8;61;151;16
435;10;24;9;105;0;6;25;29;20;263;14;35;405;26;29;641;15;55;7;11;19;30279;39;51
436;4;1;6;27;17;26;11;23;28;13;23;63;5;0;25;3772;25;11;15558;13;40;129168;64;17
437;7;13;7;2;0;13;67;40;15;227;18;18;137;21;16;80;14;37;9;104;72;13543;57;16
438;25;1;7;2;6;6;1;58;3;447;65;33;29;8;10;14079;73;18;2425;103;9;50949;210;56
439;0;0;6;22;0;10;107;54;4;5;12;6;5;10;34;2341;112;34;169;90;31;71;899;21
440;34;3;2;5;3;8;110;45;12;323;176;39;17;17;6;5838;43;13;37;7;22;56423;75;22
441;0;5;17;17;18;6;8;46;16;362;6;6;29;0;14;1235;34;12;10595;98;35;86;535;10
442;30;6;6;1;38;31;95;6;9;271;66;8;279;46;16;44;129;50;18;18;17;1242;22;47
443;30;3;4;23;27;7;67;28;4;674;28;14;1374;25;16;1482;124;73;3204;69;4;183;758;196
444;1;11;1;15;24;1;38;10;11;72;75;38;1155;20;38;733;56;24;10297;10;7;2980;0;6
445;13;4;11;10;14;19;12;21;20;24;47;20;429;51;10;33;105;52;8238;9;93;1277;489;148
446;10;10;5;15;2;5;204;60;11;84;20;18;1061;38;144;4380;4;63;3978;32;118;22558;399;25
447;2;3;30;13;20;6;118;53;6;37;11;13;707;43;53;618;0;158;13998;27;19;24396;191;72
448;1;9;3;14;6;3;15;15;29;356;14;7;983;19;16;65;25;16;1966;29;17;27388;25;53
449;27;5;13;21;5;4;111;1;12;51;32;7;398;10;22;3171;26;13;138;73;40;120;116;41
450;15;19;1;56;28;4;10;3;22;0;86;6;1114;96;17;20;45;35;7075;33;83;167804;72;89
451;6;18;10;4;19;25;31;10;19;625;7;6;626;70;22;211;30;40;14;9;26;5846;328;55
452;3;5;23;16;53;8;3;18;5;38;40;10;14;14;10;1884;49;69;2200;17;13;11619;36;17
453;5;7;4;1;22;6;28;22;12;1822;37;43;1466;19;21;36;43;23;9552;160;19;575;167;57
454;11;3;8;0;7;12;127;73;7;955;87;16;80;23;7;4693;18;66;3235;52;25;68;81;160
455;8;2;3;11;4;0;0;58;24;8;48;10;680;27;39;1756;77;29;4155;30;47;50501;1415;67
456;12;6;10;46;1;9;20;19;29;5;29;16;777;0;64;2830;3;52;10;77;31;103;26;22
457;31;2;3;33;41;8;4;14;15;36;43;19;234;20;22;5;9;14;10057;56;25;56;409;48
458;5;31;6;14;4;16;9;5;8;45;118;25;83;5;20;3175;42;19;1603;7;13;8721;32;6
459;3;18;8;25;15;15;41;23;1;6;23;4;32;62;13;919;3;13;118;64;50;117239;466;58
460;18;1;5;70;4;4;7;23;25;523;14;26;989;125;11;49;16;16;43;25;38;18890;497;16
461;0;4;2;8;2;7;6;8;2;1239;9;7;24;41;32;590;50;28;503;66;40;23297;249;11
462;35;70;0;59;28;0;39;28;46;645;27;14;34;39;44;9337;52;11;65;3;85;14920;33;16
463;5;27;2;31;14;9;242;28;23;27;57;30;38;82;7;52;4;41;4759;80;13;99;189;34
464;0;13;14;12;3;28;8;11;5;206;13;24;133;86;18;2492;10;67;48;47;116;35;24;127
465;5;12;5;13;8;6;9;7;10;38;15;60;900;14;48;436;10;33;14385;191;6;5204;5;15
466;7;3;5;4;49;4;10;56;17;98;16;10;96;145;3;1735;22;44;2217;23;52;153404;51;71
467;7;18;5;5;20;7;19;4;9;45;43;17;568;38;47;1145;32;53;12;149;18;20393;86;29
468;2;7;9;13;39;10;252;25;17;132;8;25;8;5;24;519;44;30;10437;104;83;4594;19;48
469;3;7;1;9;10;5;0;56;2;90;11;29;1228;23;20;160;40;11;1286;31;35;13404;19;65
470;21;11;6;3;22;13;116;27;7;492;26;6;408;6;24;6119;60;89;106;152;4;8291;16;58
471;23;6;12;14;28;23;30;4;2;14;42;15;267;27;28;2777;21;78;13931;44;25;143;4;99
472;1;2;10;0;9;2;9;5;14;110;14;30;7;6;40;1515;87;22;74;51;12;4512;251;32
473;4;8;8;22;2;10;55;13;8;47;13;55;1099;51;22;0;61;19;12102;19;41;2382;129;56
474;0;4;6;28;0;18;34;7;21;12;7;42;64;43;10;1446;9;51;1911;19;13;80213;8;94
475;14;6;4;180;35;22;98;17;5;80;32;23;16;42;15;1880;42;41;74;80;8;34769;995;130
476;3;12;3;13;17;11;20;3;18;23;124;25;354;55;45;3682;17;2;1285;67;38;74041;236;35
477;23;19;7;16;8;1;48;61;10;66;42;4;9;1;14;851;22;24;8;44;37;18168;13;12
478;7;11;0;7;6;2;112;58;18;1279;9;3;1162;11;7;3103;24;8;899;31;67;2876;20;29
479;1;1;19;61;16;15;68;29;11;48;35;6;9;22;5;283;49;40;5804;27;30;179;122;68
480;24;74;13;16;9;12;5;47;20;0;32;11;621;13;17;804;10;52;1320;55;10;151;128;27
481;0;28;2;10;22;29;47;9;19;193;18;18;342;40;24;2001;14;68;6071;134;44;53;425;50
482;1;16;1;3;8;12;4;2;9;143;111;18;727;28;2;416;59;91;7944;15;89;55;878;13
483;7;1;5;14;2;9;16;8;4;11;14;25;2448;13;11;3080;41;42;34;51;12;7136;338;30
484;36;16;4;82;45;8;243;64;12;11;1;6;41;95;38;50;80;18;2356;10;95;456;47;20
485;2;1;8;8;6;2;46;58;12;135;43;20;5;39;26;6546;24;12;1;12;71;30532;68;53
486;6;1;5;30;7;21;0;30;15;17;9;81;574;34;34;485;77;17;11516;106;75;27329;170;34
487;29;12;1;1;38;21;44;8;23;4;113;14;334;30;1;1774;59;10;6435;76;45;90;334;63
488;1;0;1;49;9;21;43;2;10;15;38;33;1068;24;6;87;23;57;47;7;261;221;110;53
489;51;1;6;32;3;9;22;40;11;10;15;22;1825;5;8;32;23;5;5124;16;55;32003;23;39
490;3;37;10;24;2;1;9;63;34;5;33;10;691;52;36;652;102;5;8962;8;24;8157;330;94
491;1;15;6;82;16;8;49;5;28;171;30;20;113;2;2;998;12;15;51;2;29;31;74;30
492;18;9;5;66;15;8;88;7;9;16;9;8;18;5;16;1456;62;41;12560;40;63;15678;57;63
493;12;15;10;31;3;26;5;20;6;31;17;14;20;33;47;1789;25;17;32963;152;62;108;32;5
494;43;3;6;93;1;4;20;89;1;4;14;3;243;43;26;4020;227;26;3913;287;57;70891;215;51
495;3;2;8;11;27;1;6;18;13;5;0;11;102;21;20;630;35;44;106;11;5;93471;132;87
496;28;0;0;7;26;11;44;59;6;17;6;12;46;89;34;590;43;10;20348;3;96;143524;807;83
497;20;6;0;4;49;8;26;25;6;23;47;23;3;31;52;1710;126;47;2277;19;28;107823;7;5
498;5;2;10;30;3;9;11;11;12;590;111;80;1144;16;63;32;145;30;7165;6;35;22240;63;134
499;17;31;4;61;15;5;85;23;2;435;52;4;321;47;2;27;32;11;51;45;71;54452;84;26
500;5;20;0;16;18;0;91;37;9;94;4;52;269;9;56;790;62;10;2355;65;41;111;11;60
501;16;5;23;69;27;7;4;82;17;5;51;9;16;3;21;894;97;35;55;7;30;9630;47;47
502;1;1;6;0;14;7;5;93;4;15;47;22;37;26;5;90;35;8;9089;26;23;55095;68;55
503;0;1;13;44;15;0;153;4;10;5;144;9;51;13;22;6;16;32;7;24;62;35838;637;97
504;16;0;11;7;5;13;71;71;16;26;41;5;17;12;6;7223;36;8;2900;61;34;6878;68;104
505;1;35;8;38;2;8;1;30;9;680;36;18;284;30;24;8742;21;18;931;22;59;77130;521;36
506;19;22;7;7;95;18;32;67;19;32;53;29;27;31;55;48;7;77;8418;126;63;14136;28;27
507;18;2;3;7;31;7;5;0;3;43;24;18;146;3;21;3605;37;44;1535;34;9;50;8;2
508;4;10;10;44;11;2;6;19;17;233;30;28;22;20;19;6113;21;8;5756;117;50;10518;31;29
509;5;5;13;5;13;2;19;12;2;152;3;6;63;75;14;37;12;19;25;62;4;9452;4;116
510;16;23;0;0;22;15;53;11;2;293;3;9;198;10;30;40;34;28;922;14;17;5525;33;52
511;28;9;4;0;5;19;8;84;12;158;36;14;282;30;7;7003;57;1;17732;36;29;5345;27;60
512;12;7;2;12;3;9;22;5;11;349;20;5;6;2;23;131;62;3;8744;76;8;4643;485;6
513;19;1;1;0;26;2;25;4;7;92;77;82;186;87;81;357;40;33;6804;83;33;2166;70;63
514;17;12;3;25;10;18;3;35;1;7;75;8;38;14;4;3;6;9;25;16;21;18747;84;32
515;18;2;9;31;27;5;23;1;1;513;23;90;1299;53;40;44;63;13;302;29;31;5727;66;132
516;23;33;10;22;3;9;16;2;45;0;27;29;44;5;38;2964;42;45;675;48;13;100604;361;9
