;RLS;RLS-N2;RLS-N3;RLS-N4;RLS-R2;RLS-R3;RLS-R4
648;fail;1272;173;83;45;108;642
649;11390;1305;388;268;179;34;85
650;38;1647;3486;35;128;85;116
651;fail;6207;1235;39;240;24;65
652;49;9317;16;3366;fail;7271;132
653;5307;4474;60;113;36;51;730
654;10381;5273;6316;2164;42;3063;25
655;fail;106;2170;5445;30;2956;15
656;10104;13363;1427;80;150;34;87
657;1186;12043;3193;13220;3004;3249;8
658;6877;15903;4270;56;2;1752;3955
659;24;82;34;4054;fail;82;6842
660;6827;5283;44;77;63;3447;6856
661;119;60;3026;1481;44;87;3
662;1795;1996;814;61;32;34;1605
663;28;2313;3396;926;11895;473;50
664;1868;68;760;21;3783;5055;2143
665;5481;67;1331;1065;3260;132;92
666;87;705;1480;3597;405;120;27
667;11243;7033;2364;475;3;1318;69
668;7071;21355;832;6430;4356;6271;2514
669;52;2753;4770;114;62;324;567
670;3550;1702;45;106;7763;18;5483
671;7;6031;1568;26719;46;35;22
672;111;4320;2507;9049;604;2939;198
673;176;1055;1050;2463;5657;16;12
674;73;12897;33;942;78;4126;54
675;2752;6562;16;1790;58;7300;77
676;1036;4440;8971;1880;10536;10;fail
677;91;9901;77;18;141;63;9388
678;193;16143;77;2960;4286;1061;2419
679;3917;11257;1031;6392;24;7559;1265
680;2;633;8405;1108;1430;61;28
681;fail;13;8;1460;56;3980;366
682;102;1179;4167;344;44;38;45
683;69;23393;1975;11785;148;200;88
684;34;145;96;38;76;7692;4217
685;38;1787;5171;22;23;3;126
686;46;7335;6;498;81;2976;6317
687;10123;12574;617;59;633;57;2049
688;2350;3328;32;1694;98;135;76
689;38;104;857;1586;105;5219;798
690;28;176;75;1181;1794;153;9044
691;120;194;6012;5;35;61;415
692;19;4788;10;18354;11193;2379;102
693;48;6;18;23;20;1038;4463
694;52;15796;18;399;21;3367;72
695;4483;16302;39;949;281;36;92
696;134;33720;4236;3596;6;735;75
697;104;5384;80;8916;4;77;1
698;29;5674;47;46;160;7030;6664
699;5108;23923;3;2645;5234;1684;99
700;35;101;883;2728;63;3049;64
701;4374;8514;702;1431;12746;140;2283
702;56;3560;27;226;21;5807;18
703;77;2353;2904;5281;5586;93;5305
704;33;3078;37;96;2095;2214;77
705;10062;3089;1366;9606;68;995;4541
706;828;3729;1879;3210;18;31;82
707;65;2028;24;47;7151;4921;8
708;73;12079;2769;12376;916;67;6816
