;EA;EA2;EA3;EA4;EA5;EA10
525;231082;326168;546680;762071;fail;fail
526;213181;270254;488419;780508;fail;fail
527;216181;263747;526041;fail;fail;fail
528;261967;322921;507123;735643;fail;fail
529;210357;293677;439624;795016;fail;fail
530;278642;284546;433055;813959;fail;fail
531;273765;232154;430749;fail;fail;fail
532;208483;267610;404793;fail;fail;fail
533;219721;252885;515811;839082;fail;fail
534;231465;316267;447768;fail;fail;fail
535;260358;239489;379865;fail;fail;fail
536;186895;298048;467966;845999;fail;fail
537;206289;326000;480454;fail;fail;fail
538;228561;376805;605654;873106;fail;fail
539;185814;307658;512243;fail;fail;fail
540;189920;268782;450456;fail;fail;fail
541;206093;286173;752874;fail;fail;fail
542;227188;209849;396194;fail;fail;fail
543;261222;331970;465225;858480;fail;fail
544;244734;296683;494482;fail;fail;fail
545;201603;268674;495932;846093;fail;fail
546;241219;313358;465938;842908;fail;fail
547;208676;270388;373621;fail;fail;fail
548;189098;274541;538969;fail;fail;fail
549;237900;245521;613241;fail;fail;fail
550;223595;215862;476336;fail;fail;fail
551;218808;352933;fail;824436;fail;fail
552;249722;249084;566524;840672;fail;fail
553;208302;301962;497341;fail;fail;fail
554;203523;274106;497912;fail;fail;fail
555;288905;259175;500522;889147;fail;fail
556;233886;240786;397748;fail;fail;fail
557;259394;277858;583615;708938;fail;fail
558;192194;295663;601423;825478;fail;fail
559;226035;342567;342081;821833;fail;fail
560;237916;291893;503353;fail;fail;fail
561;236039;467197;574097;fail;fail;fail
562;230344;248477;573722;880269;fail;fail
563;232994;347319;552618;920503;fail;fail
564;214946;278744;475499;fail;fail;fail
565;245866;342112;505051;785480;fail;fail
566;216358;271297;446752;743408;fail;fail
567;196343;259023;471017;753251;fail;fail
568;225224;282368;396388;fail;fail;fail
569;280515;274370;626512;719960;fail;fail
570;217047;337725;640309;827809;fail;fail
571;207878;287957;350678;904504;fail;fail
572;199175;280163;468126;fail;fail;fail
573;232350;323637;422706;891764;fail;fail
574;260140;264500;654509;fail;fail;fail
575;247871;255594;453234;fail;fail;fail
576;212360;372777;428739;fail;fail;fail
577;254421;289508;435506;886400;fail;fail
578;228231;336507;506022;674147;fail;fail
579;206372;390080;484888;916068;fail;fail
580;226274;328226;391520;737747;fail;fail
581;208479;271336;486991;fail;fail;fail
582;208630;242852;522192;827401;fail;fail
583;205202;274666;436530;fail;fail;fail
584;359265;242100;489555;785437;fail;fail
585;252741;239901;480788;fail;fail;fail
586;197059;403051;705807;902355;fail;fail
587;227547;307206;563344;858350;fail;fail
588;186996;338737;570872;756584;fail;fail
589;268933;244238;543423;715100;fail;fail
590;220524;346240;420766;fail;fail;fail
591;221202;246154;556567;882500;fail;fail
592;235357;228041;383393;fail;fail;fail
593;230951;235033;409090;891563;fail;fail
594;213833;327882;449891;720031;fail;fail
595;221380;322377;571864;fail;fail;fail
596;213673;282053;436262;fail;fail;fail
597;215757;283520;530177;fail;fail;fail
598;199881;310635;446566;fail;fail;fail
599;245568;258265;407135;883536;fail;fail
600;216245;301997;461167;711629;fail;fail
601;229699;290400;440606;fail;fail;fail
602;247526;255719;468098;811764;fail;fail
603;214307;297791;543449;896849;fail;fail
604;205691;216333;659403;756807;fail;fail
605;204902;262667;464729;fail;fail;fail
606;388456;255366;378459;fail;fail;fail
607;228158;317548;443642;fail;fail;fail
608;182490;331662;569070;886672;fail;fail
609;242905;255378;558041;fail;fail;fail
610;265643;258936;469235;833561;fail;fail
611;226735;264787;354099;916951;fail;fail
612;188819;293875;419212;fail;fail;fail
613;241163;292068;474777;879984;fail;fail
614;189893;246391;412107;fail;fail;fail
615;261711;360450;522414;773646;fail;fail
616;268031;268927;582590;fail;fail;fail
617;215694;281002;519624;902065;fail;fail
618;238892;289629;505476;fail;fail;fail
619;235280;272118;471332;fail;fail;fail
620;254428;290799;687683;670396;fail;fail
621;193116;291953;489385;fail;fail;fail
622;236963;323456;421438;fail;fail;fail
623;245561;318656;512172;fail;fail;fail
624;236103;256206;526419;790870;fail;fail
625;220324;260130;440552;fail;fail;fail
626;208193;242258;909562;fail;fail;fail
627;217320;234980;576862;708170;fail;fail
628;204636;285450;518956;fail;fail;fail
629;296288;319534;411178;fail;fail;fail
630;196581;339068;547177;fail;fail;fail
631;252340;331407;483128;809700;fail;fail
632;215482;261559;500170;847314;fail;fail
633;260085;228100;517814;fail;fail;fail
634;193690;301080;446375;837629;fail;fail
635;266824;347405;451118;895536;fail;fail
636;248278;269453;460581;fail;fail;fail
637;204403;347168;475250;fail;fail;fail
638;216779;287977;458208;783927;fail;fail
639;245880;237977;505418;816398;fail;fail
640;234619;328746;522188;fail;fail;fail
641;192958;460607;403938;867477;fail;fail
642;262552;261208;632169;fail;fail;fail
643;230650;278428;471266;fail;fail;fail
644;213156;255457;408014;fail;fail;fail
645;266246;254549;734029;fail;fail;fail
646;228648;283921;514225;fail;fail;fail
647;221283;228888;680940;709380;fail;fail
648;232103;256806;554614;913604;fail;fail
649;245113;318336;506767;771131;fail;fail
650;219229;351610;368089;830476;fail;fail
651;235444;263943;470998;800579;fail;fail
652;274528;292695;515523;899001;fail;fail
653;212096;282191;426611;739078;fail;fail
654;186481;269828;612043;715348;fail;fail
655;189622;412490;489215;751623;fail;fail
656;196611;238181;544522;842289;fail;fail
657;248416;240736;532682;763266;fail;fail
658;236417;222108;581664;fail;fail;fail
659;254487;277991;391324;fail;fail;fail
660;210839;337282;510914;fail;fail;fail
661;244019;287142;383358;907074;fail;fail
662;237228;324610;354122;877444;fail;fail
663;210190;255009;450614;835820;fail;fail
664;308007;239114;476751;fail;fail;fail
665;277236;269149;622280;860740;fail;fail
666;180346;325865;629622;912101;fail;fail
667;230070;382807;436134;899586;fail;fail
668;226909;363111;504857;781681;fail;fail
669;254581;338025;459629;829308;fail;fail
670;204930;343294;489190;fail;fail;fail
671;254164;267112;421367;fail;fail;fail
672;202121;287838;490705;fail;fail;fail
673;195328;295941;613122;fail;fail;fail
674;251980;373528;423462;fail;fail;fail
675;211277;277019;425192;787094;fail;fail
676;219723;334700;437796;fail;fail;fail
677;246517;247391;513383;fail;fail;fail
678;292715;292253;402279;fail;fail;fail
679;230335;253991;436770;fail;fail;fail
680;241093;333525;508318;fail;fail;fail
681;216894;274964;439246;864813;fail;fail
682;192893;336946;587985;894985;fail;fail
683;212678;248957;703966;765588;fail;fail
684;209130;306077;469979;658747;fail;fail
685;206957;245140;349202;877004;fail;fail
686;207425;274118;440411;845588;fail;fail
687;231190;273507;451762;fail;fail;fail
688;293561;367965;400994;fail;fail;fail
689;306778;199607;557316;fail;fail;fail
